model,system,devanagari_mode,grade,n_utts,ref_words,WER,wer_ci_lo,wer_ci_hi,SUB,DEL,INS,CER,pretrained_WER,delta_WER,p_not_better
medium,stageW,placeholder,5,597,45433,9.9817,9.5688,10.4121,8.0822,1.0917,0.8078,6.4648,11.1395,-1.1577,0.0
medium,stageW,placeholder,ALL,1600,113540,10.0986,9.8199,10.382,8.0518,1.1018,0.945,7.3848,13.2773,-3.1786,0.0
medium,stageA,placeholder,3,499,32199,15.5284,14.8103,16.2502,11.873,2.469,1.1864,11.8863,15.6371,-0.1087,0.32
medium,stageA,placeholder,4,504,35908,15.8405,15.1596,16.5572,12.0307,2.9631,0.8466,10.7172,13.866,1.9745,1.0
medium,stageA,placeholder,5,597,45433,13.1798,12.6897,13.689,10.215,2.1636,0.8012,8.7778,11.1395,2.0404,1.0
medium,stageA,placeholder,ALL,1600,113540,14.6873,14.3372,15.0341,11.2595,2.5031,0.9248,10.2086,13.2773,1.4101,1.0
medium,stageB,placeholder,3,499,32199,9.1742,8.7541,9.6631,7.6586,0.6367,0.8789,7.6051,15.6371,-6.4629,0.0
medium,stageB,placeholder,4,504,35908,11.7885,11.3065,12.2907,9.0815,1.334,1.373,9.1224,13.866,-2.0775,0.0
medium,stageB,placeholder,5,597,45433,10.3713,9.9748,10.7916,8.5709,0.9817,0.8188,6.6076,11.1395,-0.7682,0.0
medium,stageB,placeholder,ALL,1600,113540,10.48,10.2112,10.7468,8.4737,0.9952,1.0111,7.671,13.2773,-2.7973,0.0
medium,stageC,placeholder,3,499,32199,10.7674,10.3202,11.2963,8.9444,0.8665,0.9566,8.6092,15.6371,-4.8697,0.0
medium,stageC,placeholder,4,504,35908,13.5151,13.0001,14.0377,10.3542,1.5122,1.6487,9.6742,13.866,-0.3509,0.055
medium,stageC,placeholder,5,597,45433,10.959,10.5082,11.3968,8.912,1.2502,0.7968,7.4671,11.1395,-0.1805,0.147
medium,stageC,placeholder,ALL,1600,113540,11.7131,11.4131,12.0195,9.3773,1.2242,1.1115,8.47,13.2773,-1.5642,0.0
small,pretrained,drop,3,499,30324,17.7978,,,,,,,17.7978,,
small,pretrained,drop,4,504,34193,13.611,,,,,,,13.611,,
small,pretrained,drop,5,597,43891,10.7334,,,,,,,10.7334,,
small,pretrained,drop,ALL,1600,108408,13.6171,,,,,,,13.6171,,
small,stageW,drop,3,499,30324,10.833,10.3584,11.3569,5.4973,1.7742,3.5615,8.9653,17.7978,-6.9648,0.0
small,stageW,drop,4,504,34193,14.9329,14.4048,15.4891,5.9574,5.7234,3.2521,12.2373,13.611,1.3219,0.993
small,stageW,drop,5,597,43891,11.1617,10.7313,11.6127,6.5503,2.169,2.4424,8.2154,10.7334,0.4283,0.993
small,stageW,drop,ALL,1600,108408,12.2592,11.9653,12.5708,6.0687,3.1797,3.0108,9.6888,13.6171,-1.3578,0.0
small,stageA,drop,3,499,30324,20.7921,19.9261,21.8429,13.237,1.1905,6.3646,14.8585,17.7978,2.9943,1.0
small,stageA,drop,4,504,34193,21.171,20.4894,21.9117,14.3304,2.3397,4.5009,13.6635,13.611,7.56,1.0
small,stageA,drop,5,597,43891,14.0598,13.5968,14.5191,9.1545,1.7635,3.1419,9.1978,10.7334,3.3264,1.0
small,stageA,drop,ALL,1600,108408,18.1859,17.7859,18.6,11.929,1.7849,4.472,12.0703,13.6171,4.5689,1.0
small,stageB,drop,3,499,30324,10.833,10.3592,11.3432,5.0752,1.916,3.8418,9.4409,17.7978,-6.9648,0.0
small,stageB,drop,4,504,34193,15.9331,15.3882,16.4951,6.3171,6.3843,3.2317,13.3855,13.611,2.3221,1.0
small,stageB,drop,5,597,43891,11.5627,11.131,11.9971,6.7804,2.4743,2.308,8.5201,10.7334,0.8293,1.0
small,stageB,drop,ALL,1600,108408,12.7371,12.4361,13.0309,6.1573,3.5514,3.0284,10.306,13.6171,-0.88,0.0
small,stageC,drop,3,499,30324,10.4966,10.0,11.019,5.029,1.695,3.7726,9.0037,17.7978,-7.3011,0.0
small,stageC,drop,4,504,34193,15.1668,14.4518,15.8836,6.3639,4.8782,3.9248,12.1347,13.611,1.5559,0.998
small,stageC,drop,5,597,43891,12.6928,12.2724,13.1423,7.309,2.7272,2.6566,9.4584,10.7334,1.9594,1.0
small,stageC,drop,ALL,1600,108408,12.8588,12.5345,13.1661,6.3731,3.1169,3.3688,10.1946,13.6171,-0.7582,0.002
small,pretrained,keep,3,499,32199,18.1652,,,,,,,18.1652,,
small,pretrained,keep,4,504,35908,14.3923,,,,,,,14.3923,,
small,pretrained,keep,5,597,45433,11.32,,,,,,,11.32,,
small,pretrained,keep,ALL,1600,113540,14.2329,,,,,,,14.2329,,
small,stageW,keep,3,499,32199,12.7147,12.1204,13.2661,10.5811,0.8851,1.2485,8.9194,18.1652,-5.4505,0.0
small,stageW,keep,4,504,35908,17.4446,16.8102,18.088,13.983,1.2198,2.2418,12.4963,14.3923,3.0522,1.0
small,stageW,keep,5,597,45433,12.5592,12.0815,13.0537,10.6178,0.7175,1.2238,8.4596,11.32,1.2392,1.0
small,stageW,keep,ALL,1600,113540,14.1483,13.8286,14.5043,11.6717,0.9239,1.5528,9.8712,14.2329,-0.0846,0.379
small,stageA,keep,3,499,32199,20.8423,19.9981,21.8401,16.8546,2.469,1.5187,13.9295,18.1652,2.6771,1.0
small,stageA,keep,4,504,35908,21.5801,20.8992,22.2991,16.9349,3.6816,0.9636,13.5412,14.3923,7.1878,1.0
small,stageA,keep,5,597,45433,14.5203,14.049,15.0007,11.2473,2.6677,0.6053,9.2059,11.32,3.2003,1.0
small,stageA,keep,ALL,1600,113540,18.5459,18.1477,18.9574,14.6363,2.932,0.9776,11.8151,14.2329,4.313,1.0
small,stageB,keep,3,499,32199,12.5967,12.0366,13.1554,10.255,0.9752,1.3665,9.2979,18.1652,-5.5685,0.0
small,stageB,keep,4,504,35908,18.2717,17.6212,18.8876,14.6903,1.4092,2.1722,13.5945,14.3923,3.8794,1.0
small,stageB,keep,5,597,45433,13.039,12.5732,13.5313,10.9458,0.9575,1.1357,8.8676,11.32,1.719,1.0
small,stageB,keep,ALL,1600,113540,14.5684,14.2192,14.9109,11.9341,1.1053,1.529,10.4926,14.2329,0.3356,0.918
small,stageC,keep,3,499,32199,12.3296,11.7489,12.9006,10.2581,0.7982,1.2733,8.931,18.1652,-5.8356,0.0
small,stageC,keep,4,504,35908,17.1912,16.3704,17.9955,13.4427,1.3702,2.3783,12.3079,14.3923,2.7988,1.0
small,stageC,keep,5,597,45433,14.0669,13.5815,14.5346,11.7338,0.9354,1.3977,9.7496,11.32,2.7469,1.0
small,stageC,keep,ALL,1600,113540,14.5623,14.1922,14.9223,11.8557,1.034,1.6725,10.3573,14.2329,0.3294,0.909
small,pretrained,placeholder,3,499,32199,18.1652,,,,,,,18.1652,,
small,pretrained,placeholder,4,504,35908,14.3923,,,,,,,14.3923,,
small,pretrained,placeholder,5,597,45433,11.32,,,,,,,11.32,,
small,pretrained,placeholder,ALL,1600,113540,14.2329,,,,,,,14.2329,,
small,stageW,placeholder,3,499,32199,11.0904,10.5975,11.5944,8.8947,0.9162,1.2795,8.6608,18.1652,-7.0748,0.0
small,stageW,placeholder,4,504,35908,15.4088,14.8684,15.9516,11.8358,1.2755,2.2975,11.6731,14.3923,1.0165,0.973
small,stageW,placeholder,5,597,45433,11.4542,11.0207,11.9111,9.4513,0.7484,1.2546,8.0099,11.32,0.1343,0.78
small,stageW,placeholder,ALL,1600,113540,12.6017,12.3158,12.9125,10.0476,0.9627,1.5915,9.3495,14.2329,-1.6311,0.0
small,stageA,placeholder,3,499,32199,20.8423,19.9981,21.8401,16.8546,2.469,1.5187,14.3229,18.1652,2.6771,1.0
small,stageA,placeholder,4,504,35908,21.5801,20.8992,22.2991,16.9349,3.6816,0.9636,13.551,14.3923,7.1878,1.0
small,stageA,placeholder,5,597,45433,14.5203,14.049,15.0007,11.2473,2.6677,0.6053,9.2146,11.32,3.2003,1.0
small,stageA,placeholder,ALL,1600,113540,18.5459,18.1477,18.9574,14.6363,2.932,0.9776,11.9329,14.2329,4.313,1.0
small,stageB,placeholder,3,499,32199,11.2333,10.7548,11.7303,8.8233,1.0093,1.4007,9.1544,18.1652,-6.9319,0.0
small,stageB,placeholder,4,504,35908,16.3167,15.7275,16.8633,12.6406,1.4565,2.2196,12.6939,14.3923,1.9244,1.0
small,stageB,placeholder,5,597,45433,11.9253,11.4857,12.3694,9.7572,0.9949,1.1732,8.3833,11.32,0.6053,0.998
small,stageB,placeholder,ALL,1600,113540,13.1178,12.8184,13.4176,10.4043,1.145,1.5686,9.961,14.2329,-1.115,0.0
small,stageC,placeholder,3,499,32199,10.8823,10.3896,11.4032,8.7487,0.8292,1.3044,8.7212,18.1652,-7.2828,0.0
small,stageC,placeholder,4,504,35908,15.5397,14.8115,16.3145,11.7411,1.3952,2.4034,11.6193,14.3923,1.1474,0.984
small,stageC,placeholder,5,597,45433,13.017,12.5972,13.4453,10.6266,0.9641,1.4263,9.1939,11.32,1.697,1.0
small,stageC,placeholder,ALL,1600,113540,13.2094,12.8667,13.5398,10.4465,1.0622,1.7007,9.8449,14.2329,-1.0234,0.0
